phrase_num,chars,audio_duration_s,synth_time_s,rtf,output_file
1,6,0.840,3.301,3.930,tools/tts/test_outputs\test_011.wav
2,440,26.600,16.419,0.617,tools/tts/test_outputs\test_012.wav
